id,size,depth
org.springframework.samples.petclinic.PetclinicInitializer,24,1.0
org.springframework.samples.petclinic.model.NamedEntity,5,0.8
org.springframework.samples.petclinic.model.Specialty,1,1.0
org.springframework.samples.petclinic.model.PetType,1,1.0
org.springframework.samples.petclinic.model.Vets,4,0.0
org.springframework.samples.petclinic.model.Visit,12,1.0
org.springframework.samples.petclinic.model.BaseEntity,5,1.0
org.springframework.samples.petclinic.model.Person,7,1.0
org.springframework.samples.petclinic.model.Owner,40,0.65
org.springframework.samples.petclinic.model.Pet,21,0.8571428571428571
org.springframework.samples.petclinic.model.Vet,12,0.08333333333333333
org.springframework.samples.petclinic.service.ClinicServiceImpl,18,0.8888888888888888
org.springframework.samples.petclinic.web.OwnerController,36,0.6388888888888888
org.springframework.samples.petclinic.web.PetTypeFormatter,10,0.9
org.springframework.samples.petclinic.web.PetController,30,0.6
org.springframework.samples.petclinic.web.PetValidator,11,0.7272727272727273
org.springframework.samples.petclinic.web.VisitController,16,0.8125
org.springframework.samples.petclinic.web.VetController,10,0.3
org.springframework.samples.petclinic.web.CrashController,2,0.5
org.springframework.samples.petclinic.util.EntityUtils,6,0.0
org.springframework.samples.petclinic.util.CallMonitoringAspect,24,0.5416666666666666
org.springframework.samples.petclinic.repository.jdbc.JdbcVisitRowMapper,7,0.0
org.springframework.samples.petclinic.repository.jdbc.JdbcPetRepositoryImpl,33,0.0
org.springframework.samples.petclinic.repository.jdbc.JdbcVetRepositoryImpl,17,0.0
org.springframework.samples.petclinic.repository.jdbc.JdbcPetRowMapper,9,0.0
org.springframework.samples.petclinic.repository.jdbc.JdbcVetRepositoryImpl.new BeanPropertyRowMapper() {...},2,0.0
org.springframework.samples.petclinic.repository.jdbc.JdbcVisitRepositoryImpl,26,0.0
org.springframework.samples.petclinic.repository.jdbc.JdbcPet,7,0.0
org.springframework.samples.petclinic.repository.jdbc.JdbcPetVisitExtractor,8,0.0
org.springframework.samples.petclinic.repository.jdbc.JdbcOwnerRepositoryImpl,43,0.0
org.springframework.samples.petclinic.repository.jpa.JpaVisitRepositoryImpl,8,0.5
org.springframework.samples.petclinic.repository.jpa.JpaOwnerRepositoryImpl,11,0.9090909090909091
org.springframework.samples.petclinic.repository.jpa.JpaVetRepositoryImpl,2,0.5
org.springframework.samples.petclinic.repository.jpa.JpaPetRepositoryImpl,7,0.8571428571428571
